date,rainfall,eto,region,idi_daily,idi_7day,action_needed
2019-01-21,0.0,0.0,Anantapur,0.0,0.0,0
2019-01-22,0.0,0.0,Anantapur,0.0,0.0,0
2019-01-23,0.0,0.0,Anantapur,0.0,0.0,0
2019-01-24,0.0,0.0,Anantapur,0.0,0.0,0
2019-01-25,0.0,0.0,Anantapur,0.0,0.0,0
2019-01-26,0.08,0.0,Anantapur,-0.08,-0.08,0
2019-01-27,5.63,0.0,Anantapur,-5.63,-5.71,0
2019-01-28,8.46,0.0,Anantapur,-8.46,-14.170000000000002,0
2019-01-29,0.06,0.01,Anantapur,-0.049999999999999996,-14.220000000000002,0
2019-01-30,0.0,0.0,Anantapur,0.0,-14.220000000000002,0
2019-01-31,0.0,0.0,Anantapur,0.0,-14.220000000000002,0
2019-02-01,0.0,0.0,Anantapur,0.0,-14.220000000000002,0
2019-02-02,0.0,0.0,Anantapur,0.0,-14.140000000000002,0
